NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
36;0;0.3499209997244179;3.813.447.799.984.710;23.805.679.000.361.100;36.811.529.998.885.800;12.495.111.999.669.400;2.437.550.000.649.930;7,97E+05;
36;1;0.26026900013675913;3.699.786.400.011.360;23.024.674.999.760.400;37.420.510.006.995.700;12.415.975.999.829.200;24.340.270.001.630.400;1,15E+07;
36;2;0.2580780001153471;3.634.257.599.969.710;22.856.278.999.825.000;37.109.750.001.036.400;12.492.716.000.451.700;24.288.929.998.874.600;7,65E+05;
36;3;0.34619500002008863;39.258.759.999.938.700;24.247.328.999.990.700;41.022.119.994.522.600;12.800.227.000.298.000;2.456.633.999.827.310;9,07E+05;
36;4;0.32535699938307516;3.787.203.599.949.860;23.840.548.999.942.200;38.045.299.997.975.200;12.930.816.000.334.700;25.503.260.003.461.000;1,78E+06;
36;5;0.3531120000843657;3.883.788.500.024.820;2.296.509.000.007.060;37.180.680.001.256.400;1.243.833.100.033.950;2.436.212.000.247.900;7,22E+05;
36;6;0.3649989994300995;3.820.999.900.017.340;2.284.843.399.957.020;3.730.212.999.471.400;12.457.357.000.130.200;24.326.190.005.012.900;5,68E+05;
36;7;0.4179320003458997;37.805.351.999.850.200;23.377.593.999.612.100;36.800.990.001.211.100;12.453.702.999.664.500;24.533.329.997.211.600;5,99E+05;
36;8;0.38975700044829864;37.268.073.000.632.200;23.610.808.999.364.900;38.090.180.005.383.400;12.490.330.999.753.400;24.486.219.999.744.200;6,23E+05;
36;9;0.30734400024812203;388.124.319.997.587;22.837.239.000.182.300;3.697.500.999.805.920;12.352.966.999.969.700;24.318.369.996.763.000;1,65E+07;
36;10;0.34381899968138896;4.002.898.599.992.470;23.019.178.000.140.500;378.911.000.007.065;13.072.337.999.801.600;24.561.929.994.888.400;6,10E+05;
36;11;0.35518900040187873;3.791.681.199.982.120;22.965.060.000.387.800;3.708.052.000.547.460;12.445.358.999.684.600;25.075.129.997.276.200;6,05E+04;
36;12;0.3283850001025712;3.689.219.199.986.830;22.948.188.000.555.000;3.710.761.000.547.790;1.238.685.099.997.380;2.509.719.999.579.820;1,34E+07;
36;13;0.3460139996604994;389.920.819.998.224;22.800.226.000.072.100;3.682.677.999.677.250;12.267.048.000.467.100;2.431.437.000.268.480;9,84E+05;
36;14;0.34734400014713174;3.868.344.199.963.750;2.285.055.900.028.960;36.835.930.004.599.500;12.806.929.000.362.200;2.478.105.000.591.310;2,38E+07;
36;15;0.29392700071184663;3.838.620.599.981.360;22.775.116.000.048;3.714.055.999.807.890;1.238.176.199.967.710;24.866.829.999.155.000;6,35E+04;
36;16;0.4906409994873684;3.853.181.000.067.700;23.159.962.000.136.100;37.088.270.000.822.300;12.451.640.999.643.100;2.434.586.000.163.100;7,29E+05;
36;17;0.4300479995436035;37.488.304.000.362.400;23.091.819.000.001.100;3.702.101.000.271.790;12.331.292.000.453.600;24.688.949.997.653.200;2,03E+07;
36;18;0.3698209993672208;3.792.228.900.056.210;23.030.485.000.163.000;368.531.999.993.138;12.370.736.999.400.800;2.492.861.000.064.290;1,02E+06;
36;19;0.32795399965834804;3.695.713.699.926.270;22.961.988.000.133.700;36.957.480.006.094.500;12.504.517.999.332.100;2.514.027.999.495.730;7,99E+05;
36;20;0.308364999909827;39.024.622.999.932.000;22.867.597.000.185.900;36.622.719.999.286.300;12.361.369.000.245.700;2.437.017.000.374.900;1,06E+07;
36;21;0.39656300032220315;3.685.019.499.971.530;2.289.165.599.995.610;3.738.549.999.980.020;12.478.227.000.428.800;25.203.240.002.156.200;1,78E+07;
36;22;0.33313099993392825;41.959.991.000.112.400;2.309.471.599.983.220;37.169.500.001.255.000;12.470.084.999.222.300;25.403.359.995.834.700;1,52E+07;
36;23;0.34184299966000253;38.582.739.000.048.600;23.377.620.999.781.300;37.641.299.995.812.000;12.618.626.999.937.900;2.526.313.999.624.100;6,16E+06;
36;24;0.32521100001758896;3.873.411.899.985.510;2.296.514.799.945.720;3.720.169.999.724.020;12.431.810.999.260.000;25.172.949.999.614.500;6,23E+05;
36;25;0.3827860000455985;3.625.661.099.977.150;2.283.291.499.952.610;37.110.229.995.960.200;12.413.800.000.103.900;25.022.459.994.943.300;7,07E+05;
36;26;0.3530979993229266;3.837.927.899.985.510;2.265.583.699.954.730;37.324.650.002.119.500;12.324.088.999.775.900;2.430.857.999.570.430;5,81E+05;
36;27;0.3412949999983539;3.942.921.799.989.560;2.411.840.900.003.880;37.098.559.996.593.300;12.610.241.999.936.900;24.987.530.005.091.600;1,08E+07;
36;28;0.4028060002383427;3.732.856.799.979.340;2.318.021.900.009.620;37.233.739.994.917.400;12.417.533.999.723.600;24.373.659.998.673.200;5,98E+06;
36;29;0.34610800048540113;37.663.645.000.066.000;228.839.750.006.955;3.690.241.999.720.450;12.292.090.999.835.600;24.753.130.001.045.000;7,49E+05;
36;30;0.41815500026132213;3.679.379.099.958.160;2.292.639.900.042.550;3.677.873.000.015.090;1.251.208.800.022.140;26.459.529.999.556.200;1,01E+07;
36;31;0.44989700018049916;3.819.244.499.936.750;22.892.353.999.850.400;3.665.069.999.442.490;12.483.293.000.514.000;24.304.579.992.531.200;1,90E+07;
36;32;0.31775899969943566;3.820.911.899.947.530;2.306.290.400.065.330;39.806.490.003.684.300;126.526.690.000.901;2.517.804.000.490.280;7,98E+05;
36;33;0.30592399980378104;3.688.792.899.993.130;2.352.827.599.952.430;3.726.386.999.915.120;12.448.206.000.044.500;24.896.260.001.696.600;2,68E+07;
36;34;0.3178749993821839;3.902.672.900.039.760;2.297.798.600.011.440;3.689.635.999.762.680;12.373.703.999.401.100;24.290.249.994.010.000;1,20E+06;
36;35;0.3599029996621539;38.126.218.999.423.100;23.015.857.999.780.500;3.711.897.999.892.240;1.240.788.699.942.640;25.114.349.991.781.600;2,08E+07;
36;36;0.36145200010651024;374.569.010.000.414;23.009.268.000.350.800;3.694.006.999.467.090;12.267.525.999.959.600;2.473.147.000.273.450;9,71E+05;
36;37;0.3995059996668715;3.670.129.999.954.950;230.369.230.002.907;37.242.130.001.686.700;12.380.566.000.501.800;2.472.494.000.357.980;1,77E+06;
